time,depth,temperature
1.0,0.0,29.299980000000005
2.0,3.4890003,29.600000000000023
3.0,4.4690003,29.600000000000023
4.0,5.9890003,29.600000000000023
5.0,6.1790004,29.600000000000023
6.0,6.6190004,29.600000000000023
7.0,8.199,29.600000000000023
8.0,9.339001,29.600000000000023
9.0,9.299,29.600000000000023
10.0,10.059,29.600000000000023
11.0,11.649,29.600000000000023
12.0,12.599,29.600000000000023
13.0,12.719,29.600000000000023
14.0,13.999001,29.600000000000023
15.0,15.669001,29.600000000000023
16.0,15.739,29.600000000000023
17.0,16.419,29.600000000000023
18.0,17.879,29.700000000000045
19.0,19.079,29.700000000000045
20.0,19.349,29.700000000000045
21.0,20.149,29.700000000000045
22.0,20.969,29.700000000000045
23.0,22.379,29.700000000000045
24.0,22.949,29.700000000000045
25.0,23.648998,29.700000000000045
26.0,24.558998,29.700000000000045
27.0,25.369,29.700000000000045
28.0,26.189,29.700000000000045
29.0,27.019,29.700000000000045
30.0,27.848999,29.700000000000045
31.0,28.658998,29.700000000000045
32.0,29.469,29.700000000000045
33.0,30.269,29.700000000000045
34.0,31.039,29.700000000000045
35.0,31.818998,29.700000000000045
36.0,32.599,29.700000000000045
37.0,33.389,29.700000000000045
38.0,34.198997,29.700000000000045
39.0,34.999,29.700000000000045
40.0,35.799,29.700000000000045
41.0,36.639,29.799980000000005
42.0,37.399,29.799980000000005
43.0,38.169,29.799980000000005
44.0,38.939,29.799980000000005
45.0,39.679,29.799980000000005
46.0,40.389,29.799980000000005
47.0,41.069,29.799980000000005
48.0,41.759,29.799980000000005
49.0,42.489,29.799980000000005
50.0,43.259,29.799980000000005
51.0,44.128998,29.799980000000005
52.0,44.709,29.700000000000045
53.0,44.788998,29.700000000000045
54.0,44.169,29.700000000000045
55.0,42.878998,29.700000000000045
56.0,42.909,29.600000000000023
57.0,42.579,29.600000000000023
58.0,41.429,29.600000000000023
59.0,39.889,29.600000000000023
60.0,39.698997,29.600000000000023
61.0,39.319,29.600000000000023
62.0,37.858997,29.5
63.0,37.589,29.5
64.0,37.288998,29.5
65.0,36.029,29.5
66.0,34.948997,29.5
67.0,34.729,29.5
68.0,34.038998,29.5
69.0,32.448997,29.5
70.0,32.128998,29.5
71.0,31.969,29.5
72.0,30.959,29.5
73.0,29.668999,29.5
74.0,29.449,29.5
75.0,28.879,29.5
76.0,27.439,29.400000000000034
77.0,26.869,29.5
78.0,26.658998,29.5
79.0,25.389,29.400000000000034
80.0,24.258999,29.5
81.0,24.119,29.5
82.0,23.238998,29.5
83.0,21.808998,29.400000000000034
84.0,21.678999,29.5
85.0,21.269,29.400000000000034
86.0,19.689001,29.400000000000034
87.0,18.789,29.400000000000034
88.0,18.589,29.400000000000034
89.0,17.679,29.400000000000034
90.0,16.279,29.400000000000034
91.0,16.119,29.400000000000034
92.0,15.359,29.400000000000034
93.0,13.609,29.400000000000034
94.0,13.2890005,29.400000000000034
95.0,12.769,29.400000000000034
96.0,11.189,29.400000000000034
97.0,10.399,29.400000000000034
98.0,10.079,29.400000000000034
99.0,8.849,29.400000000000034
100.0,7.809,29.400000000000034
101.0,7.499,29.400000000000034
102.0,6.2990003,29.400000000000034
103.0,5.0690002,29.400000000000034
104.0,4.809,29.400000000000034
105.0,3.9890003,29.400000000000034
106.0,2.5090003,29.400000000000034
107.0,2.3190002,29.400000000000034
108.0,1.7490002,29.400000000000034
109.0,0.29900023,29.400000000000034
