index,time,depth,temperature
0,1.0,0.0,29.900000000000034
1,2.0,5.2040005,30.600000000000023
2,3.0,6.5340004,30.600000000000023
3,4.0,7.8240004,30.600000000000023
4,5.0,9.034,30.600000000000023
5,6.0,10.374001,30.600000000000023
6,7.0,11.754001,30.600000000000023
7,8.0,13.224,30.600000000000023
8,9.0,14.694,30.700000000000045
9,10.0,16.184,30.700000000000045
10,11.0,17.534,30.700000000000045
11,12.0,18.844,30.700000000000045
12,13.0,19.724,30.700000000000045
13,14.0,19.214,30.700000000000045
14,15.0,18.014,30.700000000000045
15,16.0,16.874,30.700000000000045
16,17.0,15.634,30.700000000000045
17,18.0,14.334001,30.700000000000045
18,19.0,12.984,30.700000000000045
19,20.0,11.624001,30.700000000000045
20,21.0,10.354,30.700000000000045
21,22.0,9.034,30.700000000000045
22,23.0,7.7440004,30.600000000000023
23,24.0,6.484,30.600000000000023
24,25.0,5.2040005,30.600000000000023
25,26.0,3.9040003,30.600000000000023
26,27.0,2.6340003,30.600000000000023
27,28.0,1.3940003,30.600000000000023
28,29.0,0.33400023,30.0
